H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,tau_y,kappa,law,Velocity,Stress,Strain rate,Pressure,converged?,it
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,3.655876673092172e-06,0.0001105826142967,5.094334939224519e-05,4.5314823509652906e-05,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,4.1555168108753444e-07,0.0003555872346601,1.5510258569557718e-05,0.0001751477536763,True,14
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-06,G1,6.473141759831462e-07,0.0023340346935634,4.177858639394079e-05,0.0012112409289646,True,33
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-07,G1,6.407091699150969e-07,0.0033718138616036,4.190963214221893e-05,0.001852369523607,True,35
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-08,G1,6.341948486760268e-07,0.0040356067587253,4.18413613337341e-05,0.0023022910691233,True,36
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-06,G1,1.611424531170334e-07,0.0009112495247645,1.4891223096248435e-05,0.0004956503286592,True,33
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-07,G1,1.4477425115023949e-07,0.0014949054115514,1.4936981752650876e-05,0.0008371161940109,True,35
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-08,G1,1.4047002464139666e-07,0.0021278115178214,1.492313676863974e-05,0.0012555436179878,True,41
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-07,G1,7.182533181299282e-05,0.0317030111570142,0.0020168876827073,0.0155597071401559,True,32
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-08,G1,7.182514448829833e-05,0.0316937144688776,0.0020168874387836,0.0155931423713627,True,34
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-07,G1,2.510975982279519e-05,0.0175178161574797,0.0008027150883667,0.0095614871311536,True,34
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-08,G1,2.5109735830626367e-05,0.0175482631019423,0.000802717071068,0.0096796365835087,True,36
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-07,G1,6.971825422525654e-06,0.0081777819308529,0.0002795348773995,0.0044094286322837,True,34
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-08,G1,6.971836438328524e-06,0.0083026874074909,0.0002795363475078,0.0045171774583167,True,36
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-06,G1,2.2202960945391307e-06,0.0059928144233288,0.000110030620612,0.0031214070740483,True,33
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-07,G1,2.219634957637368e-06,0.0073716348882357,0.0001101337482496,0.0039555927272527,True,35
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-08,G1,2.2192287613875704e-06,0.0083441513851784,0.000110140637956,0.0045765606928745,True,36
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1e-08,G1,0.0003327071472099,0.1398527217096367,0.0026670430419943,0.0792077807320805,True,44
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1e-07,G1,0.0003328699730359,0.1350777411145689,0.002667121485445,0.0776388200596501,True,44
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1e-06,G1,0.0003343205614116,0.1222216067024179,0.0026672552331791,0.0695230145524882,True,42
