H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,tau_y,kappa,law,Velocity,Stress,Strain rate,Pressure,converged?,it
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-08,G1,1.6301514654708964e-06,0.0169684830900237,0.0002355761315522,0.0112317369510451,True,36
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1.0,G1,0.0505825343008886,2.705867972325427e-07,0.0851718790771953,7.888785794600837e-08,True,26
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.1,G1,0.0042735146624676,4.942857295344136e-06,0.019828476860671,1.4316996771282744e-06,True,26
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.01,G1,0.0003733204466908,4.1618257912087256e-05,0.0031720090809979,1.2234126054058262e-05,True,27
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.001,G1,3.605779269422901e-05,0.0006411973429928,0.0004069045272615,0.0002705701763995,True,28
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,12,newton,80,1e-08,1.0,0.3,none,pardiso,Bingham,0.2,0.0001,G1,2.3850969416597748e-06,0.0026998800757645,0.0001101095806338,0.0012439796740387,True,55
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-05,G1,8.98083522702738e-07,0.0036456962681919,0.0001147503923954,0.0019192785871744,True,32
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,80,1e-08,1.0,0.3,none,pardiso,Bingham,0.2,1e-06,G1,1.0625103089155466e-06,0.0053198157086672,0.0001150461505191,0.0032103698593272,True,61
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-07,G1,1.0804406244606642e-06,0.0075864370176616,0.0001150603952833,0.0047643031201673,False,50
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-08,G1,1.0817029628824397e-06,0.0203354324664312,0.0001150569185184,0.0105287675064416,False,50
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1.0,G1,0.0505825381364446,6.65971676882385e-08,0.0851719194594751,2.8165697532612297e-08,True,26
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.1,G1,0.0042735683061115,1.222745680230408e-06,0.0198291263646021,3.5155882695417905e-07,True,26
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.01,G1,0.000373516282593,9.744279411721548e-06,0.0031740115633864,2.818455287437602e-06,True,27
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.001,G1,3.648646855927577e-05,9.981474565159416e-05,0.0004146888224842,4.009406698367935e-05,True,28
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.0001,G1,3.0921615312854083e-06,0.0017779271598726,6.383159787462133e-05,0.0007993414555736,True,39
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-05,G1,0.0033839601532712,3.779445687981878,1.0569334771958698,2.024727878718592,False,50
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-06,G1,0.2020517871390377,416.9911776774301,86.10357804482214,228.49701431314605,False,50
